filename,width,height,class,xmin,ymin,xmax,ymax
20190313_202537.jpg,1832,3264,list,5,1059,1820,2131
20190313_202537.jpg,1832,3264,barcode,113,1880,938,2111
20190313_202537.jpg,1832,3264,price,835,1497,1751,1816
20190313_202537.jpg,1832,3264,name,44,1152,1584,1406
20190313_202546.jpg,1832,3264,list,3,1546,1781,2549
20190313_202546.jpg,1832,3264,price,1053,1923,1710,2205
20190313_202546.jpg,1832,3264,barcode,163,2257,969,2475
20190313_202546.jpg,1832,3264,name,90,1579,1682,1841
20190317_141816.jpg,1832,3264,list,177,1098,1453,1723
20190317_141816.jpg,1832,3264,name,244,1123,1033,1288
20190317_141816.jpg,1832,3264,price,889,1379,1235,1575
20190317_141816.jpg,1832,3264,name,344,1574,1005,1669
20190317_141834.jpg,1832,3264,list,248,1515,1440,2075
20190317_141834.jpg,1832,3264,price,844,1770,1303,1954
20190317_141834.jpg,1832,3264,barcode,413,1942,1069,2033
20190317_141834.jpg,1832,3264,name,289,1524,1241,1683
20190317_141903.jpg,1832,3264,list,197,346,1433,1905
20190317_141903.jpg,1832,3264,price,813,1020,1303,1400
20190317_141903.jpg,1832,3264,barcode,479,1549,682,1623
20190317_141903.jpg,1832,3264,name,285,464,1361,703
20190317_141938.jpg,1832,3264,list,366,1400,1502,2115
20190317_141938.jpg,1832,3264,name,389,1428,1385,1587
20190317_141938.jpg,1832,3264,price,1053,1705,1423,1906
20190317_141938.jpg,1832,3264,barcode,430,1882,1084,1988
20190321_140602(1).jpg,1832,3264,list,212,1223,1564,1915
20190321_140602(1).jpg,1832,3264,price,668,1454,1502,1743
20190321_140602(1).jpg,1832,3264,barcode,723,1741,1487,1867
20190321_140602(1).jpg,1832,3264,name,227,1236,1108,1459
20190321_140609.jpg,1832,3264,list,56,1410,1681,2480
20190321_140609.jpg,1832,3264,barcode,756,1941,1563,2260
20190321_140609.jpg,1832,3264,price,856,1633,1530,2108
20190321_140609.jpg,1832,3264,name,91,1524,1092,1963
20190321_140612(1).jpg,1832,3264,list,338,1883,1494,2351
20190321_140612(1).jpg,1832,3264,price,905,2031,1449,2247
20190321_140612(1).jpg,1832,3264,barcode,842,2221,1428,2314
20190321_140612(1).jpg,1832,3264,name,416,1938,1100,2089
20190321_140614.jpg,1832,3264,list,298,1908,1549,2499
20190321_140614.jpg,1832,3264,barcode,803,2257,1466,2426
20190321_140614.jpg,1832,3264,price,754,2059,1474,2351
20190321_140614.jpg,1832,3264,name,360,1962,1081,2196
20190321_140631.jpg,1832,3264,list,342,1683,1484,2279
20190321_140631.jpg,1832,3264,price,718,1892,1444,2136
20190321_140631.jpg,1832,3264,barcode,750,2129,1449,2249
20190321_140631.jpg,1832,3264,name,356,1698,1233,1818
20190321_140633(1).jpg,1832,3264,name,224,1379,930,1534
20190321_140633(1).jpg,1832,3264,list,214,1357,1176,1964
20190321_140633(1).jpg,1832,3264,barcode,541,1769,1120,1931
20190321_140633(1).jpg,1832,3264,price,659,1580,1131,1811
20190321_140635(1).jpg,1832,3264,list,401,1374,1390,1895
20190321_140635(1).jpg,1832,3264,name,422,1374,1171,1552
20190321_140635(1).jpg,1832,3264,price,797,1531,1326,1749
20190321_140635(1).jpg,1832,3264,barcode,807,1731,1287,1847
20190321_140639(1).jpg,1832,3264,list,191,1438,1464,2157
20190321_140639(1).jpg,1832,3264,barcode,768,1942,1433,2126
20190321_140639(1).jpg,1832,3264,name,274,1482,1218,1690
20190321_140639(1).jpg,1832,3264,price,840,1697,1436,1969
20190321_140642.jpg,1832,3264,list,156,1564,1382,2260
20190321_140642.jpg,1832,3264,barcode,649,2038,1301,2212
20190321_140642.jpg,1832,3264,price,710,1824,1351,2061
20190321_140642.jpg,1832,3264,name,144,1595,861,1784
20190321_140644.jpg,1832,3264,list,367,1708,1582,2442
20190321_140644.jpg,1832,3264,barcode,815,2223,1508,2416
20190321_140644.jpg,1832,3264,price,744,1942,1548,2259
20190321_140644.jpg,1832,3264,name,374,1738,1199,1946
20190321_140657.jpg,1832,3264,list,306,1677,1546,2304
20190321_140657.jpg,1832,3264,price,881,1852,1505,2081
20190321_140657.jpg,1832,3264,barcode,862,2074,1464,2165
20190321_140657.jpg,1832,3264,name,310,1708,1125,1907
20190321_140709.jpg,1832,3264,list,353,1870,1294,2234
20190321_140709.jpg,1832,3264,name,356,1888,802,1994
20190321_140709.jpg,1832,3264,price,784,1993,1225,2136
20190321_140709.jpg,1832,3264,barcode,759,2124,1230,2215
20190321_140718(1).jpg,1832,3264,list,197,1087,1753,1905
20190321_140718(1).jpg,1832,3264,price,863,1405,1607,1749
20190321_140718(1).jpg,1832,3264,barcode,770,1731,1533,1882
20190321_140718(1).jpg,1832,3264,name,200,1164,1277,1405
20190321_140721.jpg,1832,3264,list,157,1164,1808,2050
20190321_140721.jpg,1832,3264,price,954,1462,1681,1839
20190321_140721.jpg,1832,3264,barcode,849,1828,1661,2001
20190321_140721.jpg,1832,3264,name,174,1254,1130,1513
20190321_140726.jpg,1832,3264,list,1,1092,1797,2157
20190321_140726.jpg,1832,3264,price,862,1406,1633,1837
20190321_140726.jpg,1832,3264,barcode,759,1787,1641,2023
20190321_140726.jpg,1832,3264,name,30,1200,1182,1584
20190321_140728.jpg,1832,3264,list,61,1262,1832,2192
20190321_140728.jpg,1832,3264,price,840,1551,1656,1983
20190321_140728.jpg,1832,3264,barcode,798,1949,1685,2138
20190321_140728.jpg,1832,3264,name,69,1324,990,1652
20190321_140733.jpg,1832,3264,list,1,1315,1832,2475
20190321_140733.jpg,1832,3264,barcode,869,2015,1710,2318
20190321_140733.jpg,1832,3264,name,11,1424,1005,1954
20190321_140733.jpg,1832,3264,price,912,1664,1726,2130
20190321_140736.jpg,1832,3264,list,76,1451,1753,2313
20190321_140736.jpg,1832,3264,price,861,1793,1612,2118
20190321_140736.jpg,1832,3264,name,76,1541,1054,1833
20190321_140736.jpg,1832,3264,barcode,780,2128,1602,2268
20190321_140742.jpg,1832,3264,list,176,1233,1717,1980
20190321_140742.jpg,1832,3264,barcode,780,1808,1528,1936
20190321_140742.jpg,1832,3264,price,828,1490,1549,1796
20190321_140742.jpg,1832,3264,name,189,1256,913,1497
20190321_140744.jpg,1832,3264,list,367,1346,1692,2069
20190321_140744.jpg,1832,3264,barcode,859,1906,1643,2025
20190321_140744.jpg,1832,3264,name,394,1383,1381,1604
20190321_140744.jpg,1832,3264,price,965,1588,1623,1893
20190321_140752(1).jpg,1832,3264,list,181,1449,1700,2288
20190321_140752(1).jpg,1832,3264,price,839,1751,1577,2082
20190321_140752(1).jpg,1832,3264,barcode,761,2052,1538,2259
20190321_140752(1).jpg,1832,3264,name,197,1480,894,1713
20190321_140800(1).jpg,1832,3264,list,278,1500,1832,2277
20190321_140800(1).jpg,1832,3264,price,957,1767,1695,2116
20190321_140800(1).jpg,1832,3264,barcode,823,2118,1720,2262
20190321_140800(1).jpg,1832,3264,name,294,1524,1179,1775
20190321_140808.jpg,1832,3264,list,271,1442,1681,2206
20190321_140808.jpg,1832,3264,price,877,1710,1572,2008
20190321_140808.jpg,1832,3264,barcode,802,1979,1540,2180
20190321_140808.jpg,1832,3264,name,257,1451,1051,1705
20190321_140834(1).jpg,1832,3264,list,152,1467,1425,2134
20190321_140834(1).jpg,1832,3264,price,700,1634,1356,1922
20190321_140834(1).jpg,1832,3264,barcode,733,1879,1351,2033
20190321_140834(1).jpg,1832,3264,name,191,1500,990,1747
20190321_140921.jpg,1832,3264,list,214,1444,1446,2005
20190321_140921.jpg,1832,3264,price,794,1615,1359,1824
20190321_140921.jpg,1832,3264,barcode,754,1820,1328,1909
20190321_140921.jpg,1832,3264,name,237,1477,825,1606
20190321_140926(1).jpg,1832,3264,list,359,1442,1420,1931
20190321_140926(1).jpg,1832,3264,price,876,1613,1395,1796
20190321_140926(1).jpg,1832,3264,barcode,857,1798,1387,1872
20190321_140926(1).jpg,1832,3264,name,384,1464,1025,1603
20190321_140931.jpg,1832,3264,list,289,1634,1456,2107
20190321_140931.jpg,1832,3264,price,827,1792,1405,1996
20190321_140931.jpg,1832,3264,barcode,757,1992,1390,2074
20190321_140931.jpg,1832,3264,name,325,1654,866,1726
20190321_140935(1).jpg,1832,3264,list,199,1564,1622,2224
20190321_140935(1).jpg,1832,3264,price,840,1787,1513,2057
20190321_140935(1).jpg,1832,3264,barcode,741,2033,1500,2197
20190321_140935(1).jpg,1832,3264,name,229,1603,928,1777
20190321_140939.jpg,1832,3264,list,270,1423,1459,2027
20190321_140939.jpg,1832,3264,price,840,1634,1410,1857
20190321_140939.jpg,1832,3264,barcode,797,1841,1410,1946
20190321_140939.jpg,1832,3264,name,284,1472,1094,1623
20190321_140941.jpg,1832,3264,list,310,1572,1549,2105
20190321_140941.jpg,1832,3264,price,930,1759,1467,1966
20190321_140941.jpg,1832,3264,barcode,856,1974,1446,2050
20190321_140941.jpg,1832,3264,name,325,1590,1181,1762
20190321_140946.jpg,1832,3264,list,1,1783,1648,2399
20190321_140946.jpg,1832,3264,price,773,1982,1463,2233
20190321_140946.jpg,1832,3264,barcode,686,2229,1435,2341
20190321_140946.jpg,1832,3264,name,19,1797,1004,1996
20190321_140949.jpg,1832,3264,list,260,1544,1589,2077
20190321_140949.jpg,1832,3264,price,877,1738,1508,1974
20190321_140949.jpg,1832,3264,barcode,770,1965,1476,2066
20190321_140949.jpg,1832,3264,name,276,1565,1149,1736
20190321_140953.jpg,1832,3264,list,140,1364,1502,1985
20190321_140953.jpg,1832,3264,price,768,1580,1459,1840
20190321_140953.jpg,1832,3264,barcode,666,1841,1417,1956
20190321_140953.jpg,1832,3264,name,156,1383,1104,1565
20190321_141000.jpg,1832,3264,list,289,1379,1567,2011
20190321_141000.jpg,1832,3264,price,911,1621,1517,1851
20190321_141000.jpg,1832,3264,barcode,868,1841,1504,1946
20190321_141000.jpg,1832,3264,name,312,1408,1166,1610
20190321_141016.jpg,1832,3264,list,23,1351,1633,2045
20190321_141016.jpg,1832,3264,price,812,1593,1544,1886
20190321_141016.jpg,1832,3264,barcode,664,1851,1495,1978
20190321_141016.jpg,1832,3264,name,44,1395,1190,1632
20190321_141018.jpg,1832,3264,list,191,1697,1682,2323
20190321_141018.jpg,1832,3264,price,958,1900,1648,2150
20190321_141018.jpg,1832,3264,barcode,884,2149,1631,2239
20190321_141018.jpg,1832,3264,name,214,1711,1215,1915
20190321_141024.jpg,1832,3264,list,1,1410,1828,2171
20190321_141024.jpg,1832,3264,price,889,1674,1759,1968
20190321_141024.jpg,1832,3264,barcode,812,1979,1684,2100
20190321_141024.jpg,1832,3264,name,1,1428,1171,1663
20190321_141029.jpg,1832,3264,list,47,1349,1794,2111
20190321_141029.jpg,1832,3264,price,885,1674,1640,1948
20190321_141029.jpg,1832,3264,barcode,796,1939,1581,2077
20190321_141029.jpg,1832,3264,name,98,1415,1044,1649
20190321_141031(1).jpg,1832,3264,list,18,1570,1761,2274
20190321_141031(1).jpg,1832,3264,price,770,1842,1636,2115
20190321_141031(1).jpg,1832,3264,barcode,650,2077,1572,2234
20190321_141031(1).jpg,1832,3264,name,36,1574,1082,1823
20190321_141035.jpg,1832,3264,list,110,1401,1646,2060
20190321_141035.jpg,1832,3264,price,835,1674,1548,1928
20190321_141035.jpg,1832,3264,barcode,707,1913,1515,2059
20190321_141035.jpg,1832,3264,name,132,1418,1095,1627
20190321_141041.jpg,1832,3264,list,162,1480,1751,2195
20190321_141041.jpg,1832,3264,price,906,1762,1717,2031
20190321_141041.jpg,1832,3264,barcode,792,2006,1661,2152
20190321_141041.jpg,1832,3264,name,213,1501,1172,1719
20190321_141122.jpg,1832,3264,list,78,1216,1664,1878
20190321_141122.jpg,1832,3264,price,892,1446,1513,1719
20190321_141122.jpg,1832,3264,barcode,712,1715,1517,1831
20190321_141122.jpg,1832,3264,name,127,1280,1218,1472
20190321_141124.jpg,1832,3264,list,137,1524,1694,2149
20190321_141124.jpg,1832,3264,price,843,1757,1567,2005
20190321_141124.jpg,1832,3264,barcode,757,2001,1553,2106
20190321_141124.jpg,1832,3264,name,181,1554,1277,1760
20190321_141126.jpg,1832,3264,list,190,1630,1622,2232
20190321_141126.jpg,1832,3264,price,847,1852,1576,2092
20190321_141126.jpg,1832,3264,barcode,762,2088,1561,2201
20190321_141126.jpg,1832,3264,name,216,1654,1328,1825
20190321_141134.jpg,1832,3264,list,220,1420,1713,2160
20190321_141134.jpg,1832,3264,price,867,1674,1561,1947
20190321_141134.jpg,1832,3264,barcode,774,1895,1554,2088
20190321_141134.jpg,1832,3264,name,238,1436,1274,1700
20190321_141139.jpg,1832,3264,list,266,1497,1466,2018
20190321_141139.jpg,1832,3264,price,841,1662,1426,1895
20190321_141139.jpg,1832,3264,barcode,759,1895,1426,1985
20190321_141139.jpg,1832,3264,name,284,1501,1095,1659
20190321_141145.jpg,1832,3264,list,156,1570,1297,2065
20190321_141145.jpg,1832,3264,price,700,1716,1261,1920
20190321_141145.jpg,1832,3264,barcode,628,1913,1243,2005
20190321_141145.jpg,1832,3264,name,189,1593,1030,1715
20190321_141155(1).jpg,1832,3264,list,169,1511,1563,2190
20190321_141155(1).jpg,1832,3264,price,800,1747,1513,2015
20190321_141155(1).jpg,1832,3264,barcode,722,1982,1495,2146
20190321_141155(1).jpg,1832,3264,name,185,1544,933,1751
20190321_141203.jpg,1832,3264,list,254,1305,1587,1995
20190321_141203.jpg,1832,3264,price,953,1549,1579,1806
20190321_141203.jpg,1832,3264,barcode,848,1792,1540,1915
20190321_141203.jpg,1832,3264,name,264,1303,1189,1536
20190321_141207(1).jpg,1832,3264,list,135,1287,1635,1903
20190321_141207(1).jpg,1832,3264,price,818,1469,1479,1738
20190321_141207(1).jpg,1832,3264,barcode,779,1734,1443,1823
20190321_141207(1).jpg,1832,3264,name,138,1285,1054,1474
20190321_141213(1).jpg,1832,3264,list,56,1377,1381,1982
20190321_141213(1).jpg,1832,3264,price,735,1567,1317,1815
20190321_141213(1).jpg,1832,3264,barcode,654,1788,1290,1924
20190321_141213(1).jpg,1832,3264,name,69,1383,910,1562
20190321_141217.jpg,1832,3264,list,23,1423,1354,2024
20190321_141217.jpg,1832,3264,price,659,1628,1295,1890
20190321_141217.jpg,1832,3264,name,56,1452,1079,1569
20190321_141256(1).jpg,1832,3264,list,76,1528,1681,2401
